,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
719,house,749000.0,175.0,3.0,0,1,0
720,house,475000.0,992.0,4.0,0,0,0
722,villa,260000.0,260.0,3.0,0,1,1
723,house,1850000.0,3565.0,7.0,1,1,0
724,house,340400.0,227.0,3.0,0,0,0
725,house,331200.0,157.0,3.0,0,0,0
726,house,340400.0,159.0,3.0,0,0,0
727,house,455000.0,139.0,4.0,0,0,0
728,villa,348000.0,273.0,2.0,1,1,0
729,house,349000.0,280.0,3.0,0,1,0
730,house,375000.0,74.0,4.0,0,1,0
731,exceptional property,1125000.0,1500.0,6.0,1,1,1
732,exceptional property,1125000.0,1500.0,6.0,1,1,1
733,house,245748.0,2800.0,2.0,0,1,0
735,house,75000.0,156.0,3.0,0,0,0
736,exceptional property,4850000.0,13490.0,10.0,0,0,1
738,house,359000.0,511.0,3.0,0,0,0
741,house,550000.0,3000.0,4.0,0,1,0
743,house,995000.0,249.0,6.0,1,0,0
744,apartment block,649000.0,170.0,4.0,0,1,0
745,house,155000.0,250.0,3.0,1,0,0
746,apartment block,1950000.0,600.0,5.0,0,0,0
748,apartment block,1950000.0,600.0,5.0,0,0,0
750,apartment block,2685000.0,400.0,10.0,0,1,0
752,apartment block,2685000.0,400.0,10.0,0,1,0
754,apartment block,695000.0,400.0,2.0,0,0,0
755,apartment block,185000.0,198.0,6.0,1,0,0
756,house,162500.0,120.0,3.0,1,0,0
757,apartment block,1250000.0,1500.0,10.0,0,0,0
758,apartment block,975000.0,1500.0,10.0,0,0,0
759,exceptional property,595000.0,1826.0,4.0,0,0,0
760,mansion,300000.0,1760.0,8.0,1,1,0
761,house,425000.0,1280.0,4.0,0,0,0
762,house,220000.0,230.0,3.0,0,1,0
763,house,269000.0,1780.0,3.0,0,0,0
764,exceptional property,550000.0,575.0,6.0,0,1,0
765,house,395000.0,68.0,4.0,0,0,0
767,house,370000.0,569.0,4.0,1,0,0
769,villa,440000.0,898.0,6.0,0,0,0
770,town house,219000.0,0.0,2.0,0,0,0
772,house,229000.0,174.0,3.0,0,1,0
773,house,60000.0,0.0,4.0,0,1,0
774,house,325000.0,170.0,4.0,0,1,0
776,farmhouse,260000.0,15160.0,2.0,0,0,0
778,house,219000.0,163.0,3.0,0,1,0
779,house,495000.0,0.0,4.0,0,1,0
780,exceptional property,2800000.0,502.0,6.0,0,1,0
782,apartment block,1295000.0,249.0,6.0,1,1,0
783,apartment block,210000.0,0.0,4.0,0,0,0
785,house,175500.0,112.0,3.0,0,0,0
787,villa,329000.0,900.0,4.0,0,0,0
788,house,490000.0,269.0,6.0,0,1,0
789,exceptional property,980000.0,1396.0,7.0,1,1,0
792,house,189000.0,200.0,5.0,0,1,0
793,house,310000.0,290.0,6.0,1,1,0
795,house,235000.0,2971.0,4.0,0,0,0
796,exceptional property,599000.0,0.0,5.0,0,1,0
797,house,235000.0,1312.0,5.0,1,0,0
799,manor house,2249000.0,9819.0,4.0,0,0,0
800,house,227000.0,619.0,3.0,1,1,0
802,house,619000.0,215.0,10.0,0,1,0
803,bungalow,379000.0,519.0,3.0,0,0,0
805,house,149000.0,375.0,2.0,0,1,0
